iter	RMSE
0	0.8549585423
1	0.7548450177
2	0.6770171842
3	0.624839926
4	0.5817168117
5	0.540225684
6	0.5124564397
7	0.4814253568
8	0.461946299
9	0.4430158318
10	0.4233937622
11	0.4074800061
12	0.3938044378
13	0.3767688804
14	0.3684646342
15	0.3631208069
16	0.3460763605
17	0.3367727444
18	0.3224014007
19	0.3138534997
20	0.3041664101
21	0.2963886367
22	0.2857658706
23	0.2781890186
24	0.2718467967
25	0.2690760557
26	0.2621850506
27	0.2581917485
28	0.2534355354
29	0.2449554606
30	0.2406310662
31	0.2358264027
32	0.2317491572
33	0.2297451523
34	0.2284131376
35	0.2219876461
36	0.2151476738
37	0.2136114394
38	0.2093609171
39	0.2047397569
40	0.2008358351
41	0.19570675
42	0.194411081
43	0.1917487158
44	0.1912514172
45	0.1871238691
46	0.1861542754
47	0.1840951865
48	0.183866934
49	0.1811692007
50	0.1798607656
51	0.1761267316
52	0.1733454676
53	0.17038595
54	0.166299581
55	0.1635879676
56	0.1612551611
57	0.158465152
58	0.1571503099
59	0.1559053149
60	0.1552656334
61	0.1549986995
62	0.152503999
63	0.1489155852
64	0.1473904393
65	0.1452361524
66	0.1424074336
67	0.1412000362
68	0.1398129812
69	0.1391778244
