iter	Passed	Remaining
0	0	36
1	1	34
2	1	33
3	1	32
4	2	31
5	2	30
6	3	29
7	3	29
8	4	28
9	5	31
10	5	30
11	6	29
12	6	29
13	7	28
14	7	27
15	8	27
16	8	26
17	9	27
18	10	27
19	10	26
20	11	25
21	11	25
22	12	25
23	12	24
24	13	24
25	13	23
26	14	22
27	14	22
28	15	21
29	15	20
30	16	20
31	16	19
32	16	18
33	17	18
34	17	17
35	18	17
36	18	16
37	19	16
38	19	15
39	20	15
40	20	14
41	20	13
42	21	13
43	21	12
44	22	12
45	22	11
46	23	11
47	23	10
48	24	10
49	24	9
50	25	9
51	25	8
52	26	8
53	26	7
54	27	7
55	27	6
56	28	6
57	28	5
58	28	5
59	29	4
60	29	4
61	30	3
62	30	3
63	30	2
64	31	2
65	31	1
66	32	1
67	33	0
68	33	0
69	33	0
