iter	RMSE
0	27738.80352
1	25630.82747
2	24285.60221
3	22635.63832
4	21826.72618
5	20771.6964
6	20558.0786
7	20380.97612
8	20236.26867
9	20078.46836
10	19946.85794
11	19813.53625
12	19688.27526
13	19552.41931
14	19433.33749
15	19324.59411
16	19230.69963
17	19130.15874
18	19033.72986
19	18949.25577
20	18871.73496
21	18791.32066
22	18711.18551
23	18643.67912
24	18572.12918
25	18477.77662
26	18390.37683
27	18334.29732
28	18278.0604
29	18230.71462
30	17450.75772
31	16671.34746
32	16610.6716
33	16552.3736
34	16008.86094
35	15922.902
36	15864.20638
37	15789.69714
38	15727.74056
39	15671.16126
40	15622.32134
41	15577.22217
42	15541.53202
43	15504.47287
44	15466.87469
45	15425.29693
46	15385.77552
47	15360.208
48	15324.73718
49	15298.96414
50	15270.80592
51	15253.09443
52	15236.20045
53	15217.57313
54	15198.73475
55	14979.72649
56	14377.80663
57	14360.90875
58	14354.40831
59	14339.03392
60	14332.94961
61	14327.07856
62	14321.32996
63	14296.07801
64	14287.53571
65	14266.45606
66	14240.61426
67	13916.325
68	13911.46616
69	13899.39879
70	13881.67735
71	13654.61016
72	13650.4455
73	13639.80493
74	13439.31557
75	13276.42402
76	13258.15507
77	12951.24384
78	12932.6075
79	12742.58072
80	12571.2726
81	12299.87882
82	12162.22616
83	12033.15499
84	11768.39141
85	11636.15144
86	11565.84526
87	11460.73482
88	11346.77887
89	11109.99053
90	10965.31186
91	10889.37498
92	10708.14043
93	10593.34253
94	10564.00977
95	10488.96467
96	10395.95654
97	10314.87868
98	10257.63306
99	10191.03217
100	10137.60374
101	10079.79366
102	10000.28939
103	9948.427694
104	9925.766742
105	9908.313916
106	9882.926353
107	9863.962779
108	9842.241633
109	9828.283164
110	9804.654802
111	9791.298122
112	9769.923125
113	9723.774778
114	9702.84273
115	9653.045658
116	9626.837503
117	9563.672689
118	9491.997363
119	9448.644346
120	9434.257299
121	9385.366785
122	9378.135047
123	9373.134858
124	9362.477913
125	9357.160126
126	9352.477767
127	9347.431487
128	9341.592158
129	9335.125237
130	9329.470087
131	9322.860223
132	9224.607573
133	9218.765445
134	9187.350994
135	9107.135893
136	9017.065772
137	8943.198651
138	8813.869853
139	8757.34502
140	8704.530749
141	8642.463771
142	8595.157602
143	8556.438882
144	8534.500883
145	8431.242388
146	8360.087578
147	8296.074525
148	8264.511985
149	8251.826053
150	8235.39751
151	8196.310025
152	8144.921079
153	8129.82103
154	8107.538516
155	8083.620342
156	8058.809497
157	8009.847098
158	7998.69962
159	7944.843419
160	7931.925097
161	7890.652431
162	7851.895187
163	7808.368869
164	7759.234445
165	7740.376682
166	7705.634809
167	7698.025832
168	7612.433697
169	7579.942799
170	7545.528054
171	7522.042361
172	7477.897804
173	7469.580936
174	7463.267244
175	7432.890909
176	7416.094421
177	7395.6727
178	7375.215652
179	7346.297598
