iter	Passed	Remaining
0	5	943
1	8	785
2	12	753
3	17	757
4	20	722
5	23	694
6	28	696
7	31	684
8	35	683
9	39	669
10	42	646
11	44	619
12	46	603
13	49	587
14	51	568
15	53	552
16	55	532
17	57	519
18	59	507
19	62	500
20	65	493
21	67	483
22	69	474
23	71	465
24	73	457
25	75	448
26	78	444
27	81	440
28	83	433
29	85	427
30	87	422
31	90	416
32	92	411
33	95	408
34	97	404
35	99	398
36	101	393
37	104	388
38	106	384
39	108	379
40	111	378
41	113	374
42	116	369
43	118	365
44	120	361
45	122	357
46	125	353
47	128	354
48	130	350
49	133	346
50	135	342
51	137	338
52	139	334
53	142	331
54	145	329
55	147	326
56	149	322
57	150	317
58	151	310
59	153	307
60	154	301
61	155	295
62	156	290
63	159	289
64	161	286
65	164	283
66	166	280
67	168	277
68	169	273
69	171	270
70	175	268
71	178	267
72	179	262
73	181	260
74	183	257
75	186	254
76	188	251
77	191	250
78	194	248
79	196	245
80	198	242
81	200	239
82	202	236
83	205	234
84	208	232
85	210	229
86	212	227
87	215	225
88	217	222
89	219	219
90	223	218
91	225	215
92	227	213
93	229	210
94	231	207
95	234	204
96	236	202
97	239	200
98	242	198
99	244	195
100	246	192
101	248	190
102	250	187
103	253	185
104	256	183
105	259	180
106	261	178
107	263	175
108	265	172
109	267	170
110	271	168
111	273	165
112	275	163
113	277	160
114	280	158
115	283	156
116	287	155
117	291	152
118	294	150
119	297	148
120	301	146
121	304	144
122	307	142
123	310	140
124	313	138
125	317	136
126	321	134
127	324	131
128	327	129
129	330	127
130	333	124
131	337	122
132	340	120
133	343	117
134	346	115
135	350	113
136	354	111
137	358	108
138	361	106
139	364	104
140	368	101
141	370	99
142	372	96
143	375	93
144	377	91
145	379	88
146	383	86
147	385	83
148	387	80
149	390	78
150	392	75
151	394	72
152	396	70
153	400	67
154	402	64
155	404	62
156	406	59
157	408	56
158	411	54
159	413	51
160	416	49
161	418	46
162	420	43
163	422	41
164	425	38
165	427	36
166	430	33
167	432	30
168	435	28
169	437	25
170	439	23
171	441	20
172	443	17
173	447	15
174	449	12
175	451	10
176	453	7
177	455	5
178	457	2
179	460	0
